debtor_id,age,gender,region,original_amount,days_past_due,collection_status,amount_recovered,outstanding_amount,strategy_used,contact_attempts,contact_success_count,recovery_time_days,credit_score,income_level,employment_status,loan_id,days_past_due_group,collection_rate,contact_efficiency
102,56,여성,김포시,38027588,244,실패,0,38027588,전화,9,0,,792,2315,직장인,L0102,90일 이상,0.0,0.0
103,53,여성,화천군,32205754,33,실패,0,32205754,문자,3,0,,603,7971,직장인,L0103,30일~90일,0.0,0.0
104,39,남성,김포시,16551764,274,성공,13702635,2849129,방문,10,0,72.0,494,7440,직장인,L0104,90일 이상,0.8278655374738306,1370263.5
105,43,남성,김포시,8407370,258,실패,0,8407370,방문,10,1,,757,6272,자영업,L0105,90일 이상,0.0,0.0
106,27,남성,군포시,34406657,232,실패,0,34406657,전화,7,1,,742,6029,직장인,L0106,90일 이상,0.0,0.0
107,21,여성,용인시,31063667,278,실패,0,31063667,전화,10,4,,773,4545,직장인,L0107,90일 이상,0.0,0.0
108,33,여성,서천군,23844022,182,실패,0,23844022,전화,7,0,,516,7129,직장인,L0108,90일 이상,0.0,0.0
109,49,여성,인제군,2426258,184,실패,0,2426258,전화,6,0,,752,2502,직장인,L0109,90일 이상,0.0,0.0
110,49,여성,부천시 원미구,30679565,362,실패,0,30679565,전화,14,0,,500,6546,직장인,L0110,90일 이상,0.0,0.0
111,36,여성,청주시 흥덕구,13481322,118,성공,8662264,4819058,전화,5,0,32.0,664,3574,직장인,L0111,90일 이상,0.6425381724433257,1732452.8
112,30,여성,용인시,13915600,363,실패,0,13915600,전화,13,0,,416,6352,무직,L0112,90일 이상,0.0,0.0
113,68,남성,공주시,2554675,255,성공,1371430,1183245,전화,8,0,130.0,808,2198,직장인,L0113,90일 이상,0.5368314951999765,171428.75
114,29,남성,연천군,36490018,114,성공,23465161,13024857,방문,4,0,86.0,694,3415,직장인,L0114,90일 이상,0.6430569861598863,5866290.25
115,30,여성,남양주시,43855595,9,성공,40768882,3086713,문자,1,0,3.0,614,3981,직장인,L0115,30일 미만,0.9296164377658085,40768882.0
116,59,남성,계룡시,6620955,313,실패,0,6620955,방문,10,1,,738,7240,직장인,L0116,90일 이상,0.0,0.0
117,63,남성,연천군,35727823,346,실패,0,35727823,전화,11,0,,827,6012,직장인,L0117,90일 이상,0.0,0.0
118,53,여성,가평군,26892198,24,성공,19656582,7235616,전화,3,0,19.0,498,5024,직장인,L0118,30일 미만,0.730939955149817,6552194.0
119,34,남성,하남시,24820871,285,성공,20815330,4005541,전화,10,0,5.0,902,7407,직장인,L0119,90일 이상,0.8386220612483744,2081533.0
120,27,남성,예산군,3486846,262,실패,0,3486846,전화,10,0,,848,6634,무직,L0120,90일 이상,0.0,0.0
121,65,남성,수원시 장안구,13962722,189,실패,0,13962722,전화,7,0,,816,2228,자영업,L0121,90일 이상,0.0,0.0
122,50,남성,동해시,18717871,126,실패,0,18717871,전화,6,0,,898,4402,직장인,L0122,90일 이상,0.0,0.0
123,53,여성,진천군,31805514,15,성공,31264867,540647,문자,2,0,6.0,587,3831,직장인,L0123,30일 미만,0.983001469493623,15632433.5
124,50,여성,포천시,5724456,364,실패,0,5724456,방문,12,0,,412,4421,직장인,L0124,90일 이상,0.0,0.0
125,53,여성,천안시 서북구,48171696,167,실패,0,48171696,방문,6,1,,658,5168,자영업,L0125,90일 이상,0.0,0.0
126,42,남성,군포시,34315166,159,성공,33709742,605424,전화,5,2,152.0,750,7672,직장인,L0126,90일 이상,0.9823569555222318,6741948.4
127,59,남성,태안군,32022571,114,성공,28778210,3244361,방문,4,0,6.0,595,3972,직장인,L0127,90일 이상,0.8986851805246993,7194552.5
128,20,남성,양양군,1880919,56,성공,1316909,564010,문자,2,0,33.0,647,6097,무직,L0128,30일~90일,0.7001412607347791,658454.5
129,41,남성,진천군,8848592,78,성공,7100138,1748454,전화,5,0,16.0,862,7229,자영업,L0129,30일~90일,0.8024031393921203,1420027.6
130,53,남성,예산군,17628712,76,성공,10625722,7002990,문자,4,0,70.0,932,7070,자영업,L0130,30일~90일,0.6027508986476153,2656430.5
131,58,남성,동두천시,38493257,281,성공,35834147,2659110,전화,10,0,131.0,694,4460,직장인,L0131,90일 이상,0.9309201089427169,3583414.7
132,42,여성,단양군,9252138,266,실패,0,9252138,방문,9,1,,506,5812,직장인,L0132,90일 이상,0.0,0.0
133,30,여성,부천시 소사구,4986321,191,실패,0,4986321,방문,6,1,,583,4030,직장인,L0133,90일 이상,0.0,0.0
134,34,남성,천안시 동남구,9525251,194,성공,5679627,3845624,전화,7,0,154.0,711,7331,자영업,L0134,90일 이상,0.5962705864653856,811375.2857142857
135,31,여성,철원군,4941981,200,실패,0,4941981,방문,7,0,,939,3293,직장인,L0135,90일 이상,0.0,0.0
136,27,남성,용인시,2415910,183,실패,0,2415910,방문,6,0,,643,5968,직장인,L0136,90일 이상,0.0,0.0
137,33,여성,안양시 만안구,35863300,169,실패,0,35863300,전화,6,0,,609,4027,직장인,L0137,90일 이상,0.0,0.0
138,23,여성,가평군,16020435,141,성공,12624947,3395488,방문,4,1,7.0,778,3418,직장인,L0138,90일 이상,0.7880526964467569,3156236.75
139,55,남성,청주시 흥덕구,8428826,87,성공,5188089,3240737,문자,4,0,65.0,809,7339,직장인,L0139,30일~90일,0.6155173923390992,1297022.25
140,39,여성,예산군,13214375,193,실패,0,13214375,전화,6,0,,856,2568,직장인,L0140,90일 이상,0.0,0.0
141,59,남성,김포시,48067889,178,성공,28153781,19914108,전화,8,1,53.0,846,7310,자영업,L0141,90일 이상,0.5857087046198347,3519222.625
142,34,여성,금산군,47922222,79,성공,28124330,19797892,문자,2,0,49.0,619,6714,직장인,L0142,30일~90일,0.5868744984320635,14062165.0
143,28,남성,수원시 권선구,46778079,37,성공,38395025,8383054,문자,1,0,1.0,402,6895,직장인,L0143,30일~90일,0.8207909734814035,38395025.0
144,22,남성,예산군,8001961,297,실패,0,8001961,방문,11,1,,786,5412,직장인,L0144,90일 이상,0.0,0.0
145,24,남성,안산시 상록구,23405988,58,성공,17208470,6197518,전화,1,0,56.0,724,3177,직장인,L0145,30일~90일,0.7352165608219572,17208470.0
146,51,남성,부천시,28789129,307,실패,0,28789129,방문,11,0,,526,4518,직장인,L0146,90일 이상,0.0,0.0
147,36,여성,용인시 기흥구,41986002,276,성공,29557190,12428812,전화,9,0,256.0,777,7401,직장인,L0147,90일 이상,0.7039772446064286,3284132.222222222
148,68,여성,제천시,40870075,323,성공,33937812,6932263,전화,12,0,193.0,409,7045,직장인,L0148,90일 이상,0.8303829146386446,2828151.0
149,54,여성,고양시,48865342,42,성공,33620414,15244928,문자,2,0,21.0,630,5987,직장인,L0149,30일~90일,0.6880216657441997,16810207.0
150,51,남성,광명시,4415189,35,성공,3311119,1104070,전화,3,0,19.0,531,4649,직장인,L0150,30일~90일,0.7499382246150731,1103706.3333333333
151,53,여성,태안군,23168078,41,성공,18940276,4227802,문자,3,0,31.0,885,2137,무직,L0151,30일~90일,0.8175160667190433,6313425.333333333
152,44,남성,홍성군,31758211,78,성공,16498146,15260065,문자,1,0,51.0,938,3183,직장인,L0152,30일~90일,0.5194922975982494,16498146.0
153,38,여성,과천시,2754123,2,성공,1752424,1001699,문자,1,0,1.0,582,2642,직장인,L0153,30일 미만,0.6362911169907808,1752424.0
154,62,남성,청주시 상당구,4135581,106,성공,2858168,1277413,전화,3,0,25.0,578,4977,자영업,L0154,90일 이상,0.6911164356350413,952722.6666666666
155,43,남성,천안시 동남구,23980360,140,실패,0,23980360,전화,6,0,,408,7968,직장인,L0155,90일 이상,0.0,0.0
156,20,남성,수원시,14178939,253,실패,0,14178939,전화,9,0,,924,7281,자영업,L0156,90일 이상,0.0,0.0
157,52,남성,안산시,41918186,285,성공,23231645,18686541,전화,11,0,140.0,921,5562,자영업,L0157,90일 이상,0.5542139872178629,2111967.727272727
158,21,남성,성남시,49158679,261,실패,0,49158679,전화,9,0,,440,4007,직장인,L0158,90일 이상,0.0,0.0
159,25,여성,부천시 원미구,41642441,177,실패,0,41642441,전화,4,1,,696,3674,직장인,L0159,90일 이상,0.0,0.0
160,36,남성,인제군,1206635,124,성공,959670,246965,전화,4,0,14.0,587,4379,자영업,L0160,90일 이상,0.7953275016885802,239917.5
161,43,남성,남양주시,22030344,234,실패,0,22030344,전화,7,0,,759,5570,직장인,L0161,90일 이상,0.0,0.0
162,21,여성,과천시,33679404,233,성공,26744322,6935082,방문,9,0,166.0,447,6110,직장인,L0162,90일 이상,0.7940853703943217,2971591.3333333335
163,56,여성,속초시,15796496,358,성공,9823259,5973237,방문,11,0,22.0,936,3338,무직,L0163,90일 이상,0.621863165096867,893023.5454545454
164,66,남성,하남시,42686564,254,성공,33520476,9166088,전화,10,0,14.0,474,3997,직장인,L0164,90일 이상,0.7852699505165138,3352047.6
165,39,남성,홍성군,23597269,14,성공,21026694,2570575,문자,4,0,7.0,829,3809,무직,L0165,30일 미만,0.8910647244814643,5256673.5
166,53,여성,용인시 기흥구,26999242,60,실패,0,26999242,문자,2,0,,451,3366,직장인,L0166,30일~90일,0.0,0.0
167,20,여성,수원시 장안구,27232125,141,성공,24448313,2783812,방문,5,0,136.0,820,7729,직장인,L0167,90일 이상,0.8977747054260363,4889662.6
168,69,여성,청주시 흥덕구,22397880,252,실패,0,22397880,방문,9,3,,549,3501,직장인,L0168,90일 이상,0.0,0.0
169,58,여성,충주시,2458577,67,성공,1624707,833870,문자,3,0,23.0,629,5152,무직,L0169,30일~90일,0.6608322619141073,541569.0
170,67,남성,영동군,5350540,220,성공,3578598,1771942,전화,8,0,172.0,480,5050,자영업,L0170,90일 이상,0.6688293144243385,447324.75
171,68,남성,가평군,20440343,230,실패,0,20440343,방문,8,1,,412,5266,직장인,L0171,90일 이상,0.0,0.0
172,24,남성,안양시 동안구,48549404,175,성공,39129787,9419617,전화,6,0,130.0,942,5939,직장인,L0172,90일 이상,0.8059787304495025,6521631.166666667
173,21,남성,동해시,32552379,157,실패,0,32552379,전화,5,0,,437,3231,자영업,L0173,90일 이상,0.0,0.0
174,68,남성,공주시,17712533,92,성공,12003731,5708802,방문,3,0,32.0,783,3060,자영업,L0174,90일 이상,0.6776970295552872,4001243.6666666665
175,40,여성,태안군,12487134,254,성공,11130047,1357087,방문,11,0,15.0,874,4405,직장인,L0175,90일 이상,0.8913211790631862,1011822.4545454546
176,69,남성,보령시,13317837,327,성공,8072862,5244975,전화,9,1,291.0,925,3056,직장인,L0176,90일 이상,0.6061691549461072,896984.6666666666
177,30,여성,수원시,35186252,352,실패,0,35186252,전화,12,0,,525,3197,자영업,L0177,90일 이상,0.0,0.0
178,33,남성,원주시,34519080,210,실패,0,34519080,전화,8,1,,541,6733,직장인,L0178,90일 이상,0.0,0.0
179,40,남성,청주시 상당구,13195547,304,실패,0,13195547,전화,11,2,,925,5960,직장인,L0179,90일 이상,0.0,0.0
180,20,여성,정선군,23788714,142,성공,15270231,8518483,방문,6,0,4.0,922,2170,자영업,L0180,90일 이상,0.6419107396894175,2545038.5
181,32,여성,강릉시,8989950,31,성공,4602236,4387714,문자,1,0,14.0,501,3695,직장인,L0181,30일~90일,0.5119312120757068,4602236.0
182,33,남성,고양시 일산서구,18080788,245,실패,0,18080788,전화,7,0,,472,6957,직장인,L0182,90일 이상,0.0,0.0
183,22,남성,광명시,11484848,264,실패,0,11484848,방문,10,0,,822,2279,직장인,L0183,90일 이상,0.0,0.0
184,52,여성,속초시,14166996,184,실패,0,14166996,방문,7,1,,579,5288,직장인,L0184,90일 이상,0.0,0.0
185,39,남성,평창군,45117454,99,성공,42132726,2984728,전화,4,0,94.0,910,4676,자영업,L0185,90일 이상,0.9338453805482907,10533181.5
186,53,남성,예산군,31249750,30,성공,21916522,9333228,전화,2,0,8.0,889,6361,직장인,L0186,30일~90일,0.7013343146745173,10958261.0
187,64,남성,진천군,24680912,333,실패,0,24680912,전화,10,0,,915,2813,직장인,L0187,90일 이상,0.0,0.0
188,45,여성,구리시,31861952,76,성공,23090781,8771171,전화,3,0,55.0,489,6177,직장인,L0188,30일~90일,0.7247133195103678,7696927.0
189,55,여성,부여군,25451872,142,실패,0,25451872,전화,3,0,,681,2505,직장인,L0189,90일 이상,0.0,0.0
190,36,남성,청주시 청원구,49836271,244,성공,29949614,19886657,방문,9,3,113.0,518,5570,직장인,L0190,90일 이상,0.6009601721605535,3327734.888888889
191,40,남성,성남시 수정구,19179580,67,성공,17283933,1895647,문자,2,0,19.0,675,6623,자영업,L0191,30일~90일,0.9011632684344496,8641966.5
192,44,남성,용인시 기흥구,4515348,95,성공,2523166,1992182,전화,3,1,92.0,614,5338,직장인,L0192,90일 이상,0.5587976829249928,841055.3333333334
193,62,여성,양평군,32461577,334,실패,0,32461577,전화,11,1,,770,2108,직장인,L0193,90일 이상,0.0,0.0
194,39,남성,용인시 수지구,4624713,148,실패,0,4624713,방문,6,0,,676,2878,자영업,L0194,90일 이상,0.0,0.0
195,30,남성,성남시 수정구,37836728,277,성공,31568279,6268449,방문,8,0,127.0,789,3142,직장인,L0195,90일 이상,0.8343289884897024,3946034.875
196,24,여성,부천시 오정구,13811030,119,성공,8348919,5462111,전화,5,0,96.0,790,7289,직장인,L0196,90일 이상,0.6045109597184279,1669783.8
197,24,여성,가평군,13201463,303,실패,0,13201463,방문,11,0,,434,5274,직장인,L0197,90일 이상,0.0,0.0
198,55,여성,증평군,13187843,42,성공,11272666,1915177,문자,4,1,36.0,721,3005,자영업,L0198,30일~90일,0.8547770852291766,2818166.5
199,69,여성,천안시 서북구,48935147,182,성공,34171159,14763988,전화,5,0,50.0,653,3821,무직,L0199,90일 이상,0.6982948063893626,6834231.8
200,37,남성,고양시 덕양구,12862271,41,성공,7544828,5317443,문자,2,0,22.0,866,2926,직장인,L0200,30일~90일,0.5865859924736464,3772414.0
