debtor_id,age,gender,region,original_amount,days_past_due,collection_status,amount_recovered,outstanding_amount,strategy_used,contact_attempts,contact_success_count,recovery_time_days,credit_score,income_level,employment_status,loan_id
64,51,남성,태안군,26551776,176,실패,0,26551776,전화,7,0,,775,7643,직장인,L0064
65,32,여성,안양시 만안구,7032614,21,성공,6245990,786624,문자,2,0,15.0,424,6620,무직,L0065
66,53,여성,안산시,8955096,36,성공,8333893,621203,전화,1,0,26.0,935,2779,직장인,L0066
67,36,남성,용인시 수지구,16092999,185,성공,14080264,2012735,전화,7,0,78.0,435,2597,직장인,L0067
68,63,남성,성남시 중원구,44280739,298,성공,27041486,17239253,전화,11,2,275.0,562,2927,직장인,L0068
69,45,여성,보은군,17997180,202,성공,14057363,3939817,방문,6,0,7.0,749,7931,무직,L0069
70,29,여성,단양군,26867113,168,실패,0,26867113,전화,7,0,,888,2989,직장인,L0070
71,67,여성,연천군,32653643,38,성공,18785683,13867960,문자,4,0,1.0,790,2399,무직,L0071
72,30,여성,충주시,11841924,253,성공,9370450,2471474,전화,8,1,83.0,490,2275,자영업,L0072
73,32,여성,여주시,27996626,305,실패,0,27996626,방문,12,0,,905,5265,직장인,L0073
74,47,여성,양구군,37955474,149,실패,0,37955474,전화,6,1,,760,3080,직장인,L0074
75,35,여성,안양시 동안구,4714687,205,실패,0,4714687,전화,8,0,,474,3523,자영업,L0075
76,63,여성,청주시 흥덕구,25872808,364,실패,0,25872808,전화,13,0,,518,4972,직장인,L0076
77,59,남성,수원시 팔달구,16128314,204,성공,14010819,2117495,전화,6,0,93.0,804,3886,직장인,L0077
78,63,여성,부여군,30731279,306,실패,0,30731279,방문,8,1,,603,4955,직장인,L0078
79,48,여성,청주시 흥덕구,44359277,275,실패,0,44359277,전화,11,0,,437,5290,직장인,L0079
80,49,남성,영동군,48497255,80,성공,32753225,15744030,문자,4,0,31.0,421,4847,직장인,L0080
81,28,여성,청양군,42813934,204,성공,23261724,19552210,방문,7,0,144.0,588,2952,무직,L0081
82,41,여성,용인시,32250123,63,실패,0,32250123,전화,3,1,,804,2204,직장인,L0082
83,25,여성,서천군,46623623,105,실패,0,46623623,전화,4,0,,760,4978,무직,L0083
84,63,여성,논산시,9430964,171,성공,6483823,2947141,방문,6,1,96.0,476,2698,자영업,L0084
85,53,남성,계룡시,18779934,100,성공,16668699,2111235,전화,4,0,51.0,853,5056,직장인,L0085
86,63,여성,제천시,6353893,340,성공,5922756,431137,전화,11,0,245.0,915,7166,직장인,L0086
87,31,남성,수원시 장안구,41506785,282,실패,0,41506785,방문,10,0,,609,2097,직장인,L0087
88,45,남성,동해시,33445002,309,실패,0,33445002,방문,12,2,,581,6078,무직,L0088
89,21,남성,속초시,42288883,258,성공,25488033,16800850,전화,10,0,6.0,408,2383,무직,L0089
90,34,여성,고양시 일산동구,5883642,114,성공,4180142,1703500,전화,5,0,34.0,662,3692,직장인,L0090
91,22,남성,공주시,44704997,184,실패,0,44704997,전화,7,0,,757,2814,직장인,L0091
92,49,여성,양양군,26001112,308,실패,0,26001112,전화,10,0,,671,5171,무직,L0092
93,65,여성,용인시,23073746,43,성공,17451646,5622100,문자,1,0,17.0,583,6911,자영업,L0093
94,68,여성,부천시 원미구,38293059,39,성공,27061774,11231285,전화,2,0,9.0,747,7729,자영업,L0094
95,30,남성,성남시,36807978,215,실패,0,36807978,전화,8,0,,792,3016,무직,L0095
96,31,남성,수원시,16935926,58,성공,16648962,286964,문자,3,1,52.0,608,3051,자영업,L0096
97,68,남성,파주시,37142476,29,성공,32178190,4964286,문자,2,0,19.0,427,3621,직장인,L0097
98,27,남성,정선군,3604229,317,실패,0,3604229,방문,12,0,,768,5128,자영업,L0098
99,33,남성,부천시 오정구,12207952,308,성공,11211975,995977,전화,9,0,88.0,795,6085,직장인,L0099
100,60,여성,용인시,23404262,174,실패,0,23404262,전화,6,0,,461,2883,직장인,L0100
101,68,여성,화성시,44207170,305,실패,0,44207170,전화,12,1,,940,7832,무직,L0101
102,56,여성,김포시,38027588,244,실패,0,38027588,전화,9,0,,792,2315,직장인,L0102
103,53,여성,화천군,32205754,33,실패,0,32205754,문자,3,0,,603,7971,직장인,L0103
104,39,남성,김포시,16551764,274,성공,13702635,2849129,방문,10,0,72.0,494,7440,직장인,L0104
105,43,남성,김포시,8407370,258,실패,0,8407370,방문,10,1,,757,6272,자영업,L0105
106,27,남성,군포시,34406657,232,실패,0,34406657,전화,7,1,,742,6029,직장인,L0106
107,21,여성,용인시,31063667,278,실패,0,31063667,전화,10,4,,773,4545,직장인,L0107
108,33,여성,서천군,23844022,182,실패,0,23844022,전화,7,0,,516,7129,직장인,L0108
109,49,여성,인제군,2426258,184,실패,0,2426258,전화,6,0,,752,2502,직장인,L0109
110,49,여성,부천시 원미구,30679565,362,실패,0,30679565,전화,14,0,,500,6546,직장인,L0110
111,36,여성,청주시 흥덕구,13481322,118,성공,8662264,4819058,전화,5,0,32.0,664,3574,직장인,L0111
112,30,여성,용인시,13915600,363,실패,0,13915600,전화,13,0,,416,6352,무직,L0112
113,68,남성,공주시,2554675,255,성공,1371430,1183245,전화,8,0,130.0,808,2198,직장인,L0113
114,29,남성,연천군,36490018,114,성공,23465161,13024857,방문,4,0,86.0,694,3415,직장인,L0114
115,30,여성,남양주시,43855595,9,성공,40768882,3086713,문자,1,0,3.0,614,3981,직장인,L0115
116,59,남성,계룡시,6620955,313,실패,0,6620955,방문,10,1,,738,7240,직장인,L0116
117,63,남성,연천군,35727823,346,실패,0,35727823,전화,11,0,,827,6012,직장인,L0117
118,53,여성,가평군,26892198,24,성공,19656582,7235616,전화,3,0,19.0,498,5024,직장인,L0118
119,34,남성,하남시,24820871,285,성공,20815330,4005541,전화,10,0,5.0,902,7407,직장인,L0119
120,27,남성,예산군,3486846,262,실패,0,3486846,전화,10,0,,848,6634,무직,L0120
121,65,남성,수원시 장안구,13962722,189,실패,0,13962722,전화,7,0,,816,2228,자영업,L0121
122,50,남성,동해시,18717871,126,실패,0,18717871,전화,6,0,,898,4402,직장인,L0122
123,53,여성,진천군,31805514,15,성공,31264867,540647,문자,2,0,6.0,587,3831,직장인,L0123
124,50,여성,포천시,5724456,364,실패,0,5724456,방문,12,0,,412,4421,직장인,L0124
125,53,여성,천안시 서북구,48171696,167,실패,0,48171696,방문,6,1,,658,5168,자영업,L0125
126,42,남성,군포시,34315166,159,성공,33709742,605424,전화,5,2,152.0,750,7672,직장인,L0126
127,59,남성,태안군,32022571,114,성공,28778210,3244361,방문,4,0,6.0,595,3972,직장인,L0127
128,20,남성,양양군,1880919,56,성공,1316909,564010,문자,2,0,33.0,647,6097,무직,L0128
129,41,남성,진천군,8848592,78,성공,7100138,1748454,전화,5,0,16.0,862,7229,자영업,L0129
130,53,남성,예산군,17628712,76,성공,10625722,7002990,문자,4,0,70.0,932,7070,자영업,L0130
131,58,남성,동두천시,38493257,281,성공,35834147,2659110,전화,10,0,131.0,694,4460,직장인,L0131
132,42,여성,단양군,9252138,266,실패,0,9252138,방문,9,1,,506,5812,직장인,L0132
133,30,여성,부천시 소사구,4986321,191,실패,0,4986321,방문,6,1,,583,4030,직장인,L0133
134,34,남성,천안시 동남구,9525251,194,성공,5679627,3845624,전화,7,0,154.0,711,7331,자영업,L0134
135,31,여성,철원군,4941981,200,실패,0,4941981,방문,7,0,,939,3293,직장인,L0135
136,27,남성,용인시,2415910,183,실패,0,2415910,방문,6,0,,643,5968,직장인,L0136
137,33,여성,안양시 만안구,35863300,169,실패,0,35863300,전화,6,0,,609,4027,직장인,L0137
138,23,여성,가평군,16020435,141,성공,12624947,3395488,방문,4,1,7.0,778,3418,직장인,L0138
139,55,남성,청주시 흥덕구,8428826,87,성공,5188089,3240737,문자,4,0,65.0,809,7339,직장인,L0139
140,39,여성,예산군,13214375,193,실패,0,13214375,전화,6,0,,856,2568,직장인,L0140
141,59,남성,김포시,48067889,178,성공,28153781,19914108,전화,8,1,53.0,846,7310,자영업,L0141
142,34,여성,금산군,47922222,79,성공,28124330,19797892,문자,2,0,49.0,619,6714,직장인,L0142
143,28,남성,수원시 권선구,46778079,37,성공,38395025,8383054,문자,1,0,1.0,402,6895,직장인,L0143
144,22,남성,예산군,8001961,297,실패,0,8001961,방문,11,1,,786,5412,직장인,L0144
145,24,남성,안산시 상록구,23405988,58,성공,17208470,6197518,전화,1,0,56.0,724,3177,직장인,L0145
146,51,남성,부천시,28789129,307,실패,0,28789129,방문,11,0,,526,4518,직장인,L0146
147,36,여성,용인시 기흥구,41986002,276,성공,29557190,12428812,전화,9,0,256.0,777,7401,직장인,L0147
148,68,여성,제천시,40870075,323,성공,33937812,6932263,전화,12,0,193.0,409,7045,직장인,L0148
149,54,여성,고양시,48865342,42,성공,33620414,15244928,문자,2,0,21.0,630,5987,직장인,L0149
150,51,남성,광명시,4415189,35,성공,3311119,1104070,전화,3,0,19.0,531,4649,직장인,L0150
151,53,여성,태안군,23168078,41,성공,18940276,4227802,문자,3,0,31.0,885,2137,무직,L0151
152,44,남성,홍성군,31758211,78,성공,16498146,15260065,문자,1,0,51.0,938,3183,직장인,L0152
153,38,여성,과천시,2754123,2,성공,1752424,1001699,문자,1,0,1.0,582,2642,직장인,L0153
154,62,남성,청주시 상당구,4135581,106,성공,2858168,1277413,전화,3,0,25.0,578,4977,자영업,L0154
155,43,남성,천안시 동남구,23980360,140,실패,0,23980360,전화,6,0,,408,7968,직장인,L0155
156,20,남성,수원시,14178939,253,실패,0,14178939,전화,9,0,,924,7281,자영업,L0156
157,52,남성,안산시,41918186,285,성공,23231645,18686541,전화,11,0,140.0,921,5562,자영업,L0157
158,21,남성,성남시,49158679,261,실패,0,49158679,전화,9,0,,440,4007,직장인,L0158
159,25,여성,부천시 원미구,41642441,177,실패,0,41642441,전화,4,1,,696,3674,직장인,L0159
160,36,남성,인제군,1206635,124,성공,959670,246965,전화,4,0,14.0,587,4379,자영업,L0160
161,43,남성,남양주시,22030344,234,실패,0,22030344,전화,7,0,,759,5570,직장인,L0161
162,21,여성,과천시,33679404,233,성공,26744322,6935082,방문,9,0,166.0,447,6110,직장인,L0162
163,56,여성,속초시,15796496,358,성공,9823259,5973237,방문,11,0,22.0,936,3338,무직,L0163
164,66,남성,하남시,42686564,254,성공,33520476,9166088,전화,10,0,14.0,474,3997,직장인,L0164
165,39,남성,홍성군,23597269,14,성공,21026694,2570575,문자,4,0,7.0,829,3809,무직,L0165
166,53,여성,용인시 기흥구,26999242,60,실패,0,26999242,문자,2,0,,451,3366,직장인,L0166
167,20,여성,수원시 장안구,27232125,141,성공,24448313,2783812,방문,5,0,136.0,820,7729,직장인,L0167
168,69,여성,청주시 흥덕구,22397880,252,실패,0,22397880,방문,9,3,,549,3501,직장인,L0168
169,58,여성,충주시,2458577,67,성공,1624707,833870,문자,3,0,23.0,629,5152,무직,L0169
170,67,남성,영동군,5350540,220,성공,3578598,1771942,전화,8,0,172.0,480,5050,자영업,L0170
171,68,남성,가평군,20440343,230,실패,0,20440343,방문,8,1,,412,5266,직장인,L0171
172,24,남성,안양시 동안구,48549404,175,성공,39129787,9419617,전화,6,0,130.0,942,5939,직장인,L0172
173,21,남성,동해시,32552379,157,실패,0,32552379,전화,5,0,,437,3231,자영업,L0173
174,68,남성,공주시,17712533,92,성공,12003731,5708802,방문,3,0,32.0,783,3060,자영업,L0174
175,40,여성,태안군,12487134,254,성공,11130047,1357087,방문,11,0,15.0,874,4405,직장인,L0175
176,69,남성,보령시,13317837,327,성공,8072862,5244975,전화,9,1,291.0,925,3056,직장인,L0176
177,30,여성,수원시,35186252,352,실패,0,35186252,전화,12,0,,525,3197,자영업,L0177
178,33,남성,원주시,34519080,210,실패,0,34519080,전화,8,1,,541,6733,직장인,L0178
179,40,남성,청주시 상당구,13195547,304,실패,0,13195547,전화,11,2,,925,5960,직장인,L0179
180,20,여성,정선군,23788714,142,성공,15270231,8518483,방문,6,0,4.0,922,2170,자영업,L0180
181,32,여성,강릉시,8989950,31,성공,4602236,4387714,문자,1,0,14.0,501,3695,직장인,L0181
182,33,남성,고양시 일산서구,18080788,245,실패,0,18080788,전화,7,0,,472,6957,직장인,L0182
183,22,남성,광명시,11484848,264,실패,0,11484848,방문,10,0,,822,2279,직장인,L0183
184,52,여성,속초시,14166996,184,실패,0,14166996,방문,7,1,,579,5288,직장인,L0184
185,39,남성,평창군,45117454,99,성공,42132726,2984728,전화,4,0,94.0,910,4676,자영업,L0185
186,53,남성,예산군,31249750,30,성공,21916522,9333228,전화,2,0,8.0,889,6361,직장인,L0186
187,64,남성,진천군,24680912,333,실패,0,24680912,전화,10,0,,915,2813,직장인,L0187
188,45,여성,구리시,31861952,76,성공,23090781,8771171,전화,3,0,55.0,489,6177,직장인,L0188
189,55,여성,부여군,25451872,142,실패,0,25451872,전화,3,0,,681,2505,직장인,L0189
190,36,남성,청주시 청원구,49836271,244,성공,29949614,19886657,방문,9,3,113.0,518,5570,직장인,L0190
191,40,남성,성남시 수정구,19179580,67,성공,17283933,1895647,문자,2,0,19.0,675,6623,자영업,L0191
192,44,남성,용인시 기흥구,4515348,95,성공,2523166,1992182,전화,3,1,92.0,614,5338,직장인,L0192
193,62,여성,양평군,32461577,334,실패,0,32461577,전화,11,1,,770,2108,직장인,L0193
194,39,남성,용인시 수지구,4624713,148,실패,0,4624713,방문,6,0,,676,2878,자영업,L0194
195,30,남성,성남시 수정구,37836728,277,성공,31568279,6268449,방문,8,0,127.0,789,3142,직장인,L0195
196,24,여성,부천시 오정구,13811030,119,성공,8348919,5462111,전화,5,0,96.0,790,7289,직장인,L0196
197,24,여성,가평군,13201463,303,실패,0,13201463,방문,11,0,,434,5274,직장인,L0197
198,55,여성,증평군,13187843,42,성공,11272666,1915177,문자,4,1,36.0,721,3005,자영업,L0198
199,69,여성,천안시 서북구,48935147,182,성공,34171159,14763988,전화,5,0,50.0,653,3821,무직,L0199
200,37,남성,고양시 덕양구,12862271,41,성공,7544828,5317443,문자,2,0,22.0,866,2926,직장인,L0200
201,65,남성,화천군,23718400,131,성공,14236073,9482327,전화,3,1,104.0,865,2909,직장인,L0201
202,55,남성,동해시,46869576,137,실패,0,46869576,전화,6,1,,585,6560,직장인,L0202
203,28,남성,당진시,21170184,197,성공,19672965,1497219,방문,8,0,73.0,563,5602,직장인,L0203
204,41,남성,성남시 수정구,2631451,65,성공,1348698,1282753,문자,2,0,16.0,453,2416,직장인,L0204
205,62,여성,진천군,21915618,213,실패,0,21915618,전화,8,2,,719,4397,직장인,L0205
206,22,여성,보은군,15908488,169,성공,11385613,4522875,전화,6,2,123.0,610,5081,직장인,L0206
207,49,남성,의왕시,48365995,43,실패,0,48365995,전화,4,1,,596,3771,직장인,L0207
208,35,여성,안산시 단원구,31449196,204,실패,0,31449196,전화,8,1,,502,4507,직장인,L0208
209,66,여성,성남시,43102033,39,성공,41164021,1938012,문자,1,0,5.0,417,4510,무직,L0209
210,60,여성,수원시 영통구,30917678,204,성공,19455376,11462302,전화,7,0,126.0,920,4774,직장인,L0210
211,67,남성,태백시,34585608,311,실패,0,34585608,방문,12,0,,458,3742,직장인,L0211
212,21,남성,수원시 영통구,17814660,205,성공,14607647,3207013,전화,9,0,103.0,782,6906,직장인,L0212
213,66,남성,보은군,3959695,299,성공,2963406,996289,방문,11,1,174.0,800,2286,직장인,L0213
214,62,여성,성남시 중원구,6908818,358,실패,0,6908818,방문,13,2,,625,7420,직장인,L0214
215,51,남성,파주시,1913719,227,성공,1885594,28125,전화,8,0,59.0,434,3388,무직,L0215
216,28,남성,고양시 덕양구,21357117,323,실패,0,21357117,방문,11,0,,655,5967,직장인,L0216
217,26,남성,고양시 덕양구,38132604,316,성공,19660106,18472498,전화,12,2,314.0,834,6797,직장인,L0217
218,41,남성,연천군,25701197,256,실패,0,25701197,전화,8,0,,677,7525,직장인,L0218
219,54,여성,정선군,3284333,345,실패,0,3284333,전화,14,0,,559,3308,자영업,L0219
220,38,여성,의왕시,35846273,19,성공,29258164,6588109,전화,1,0,18.0,540,7404,직장인,L0220
221,55,여성,용인시 처인구,27968996,292,성공,20563369,7405627,전화,10,0,216.0,689,7424,직장인,L0221
222,53,여성,공주시,2524275,223,성공,1571464,952811,전화,7,0,40.0,635,3579,자영업,L0222
223,69,여성,의왕시,6368552,223,실패,0,6368552,전화,8,0,,922,5782,무직,L0223
224,52,여성,부여군,23514105,51,성공,19671767,3842338,문자,1,0,40.0,691,4398,직장인,L0224
225,56,여성,안산시 단원구,35599560,216,실패,0,35599560,전화,9,0,,608,5842,무직,L0225
226,24,여성,부천시 소사구,30110755,316,성공,19398850,10711905,전화,12,0,180.0,613,6414,직장인,L0226
227,24,남성,김포시,28180459,189,성공,14527681,13652778,전화,8,0,73.0,408,3254,직장인,L0227
228,24,남성,오산시,23272298,180,성공,20667224,2605074,전화,7,0,149.0,645,7405,직장인,L0228
229,69,여성,오산시,39274445,175,실패,0,39274445,전화,5,0,,494,4581,직장인,L0229
230,27,남성,청주시 서원구,31133183,254,성공,24949432,6183751,전화,8,0,95.0,602,5191,무직,L0230
231,24,여성,부천시 오정구,37239731,345,실패,0,37239731,전화,11,0,,744,7979,직장인,L0231
232,45,여성,가평군,13610044,313,실패,0,13610044,방문,11,0,,549,6338,직장인,L0232
233,39,여성,안산시,28444630,114,성공,20415748,8028882,방문,5,0,82.0,747,5797,직장인,L0233
234,56,남성,안산시 단원구,24735209,91,실패,0,24735209,전화,4,1,,501,6385,직장인,L0234
235,58,남성,수원시 팔달구,22273021,214,성공,20953505,1319516,전화,7,0,171.0,909,4007,직장인,L0235
236,69,여성,포천시,27765890,322,실패,0,27765890,전화,11,0,,689,5749,직장인,L0236
237,60,남성,양평군,22034597,265,성공,11282128,10752469,전화,11,0,133.0,900,3627,직장인,L0237
238,51,남성,당진시,38760220,234,실패,0,38760220,전화,8,0,,458,5621,직장인,L0238
239,59,여성,화천군,36643323,21,성공,36185364,457959,문자,2,0,14.0,899,4967,자영업,L0239
240,28,남성,옥천군,239265,102,성공,182416,56849,전화,3,0,53.0,839,3943,자영업,L0240
241,59,여성,동해시,20753278,133,실패,0,20753278,전화,5,0,,917,2924,자영업,L0241
242,53,남성,금산군,45719522,113,성공,26244685,19474837,전화,3,0,111.0,528,4912,직장인,L0242
243,52,여성,안산시,27039081,232,실패,0,27039081,전화,8,1,,421,4390,직장인,L0243
244,22,여성,성남시 분당구,23994641,73,성공,14426651,9567990,문자,3,0,36.0,460,4608,직장인,L0244
245,60,여성,철원군,27788951,338,실패,0,27788951,방문,11,1,,509,6026,직장인,L0245
246,40,여성,영동군,9997600,246,실패,0,9997600,전화,8,0,,522,2645,직장인,L0246
247,34,여성,의정부시,42712397,59,성공,22215848,20496549,문자,2,0,24.0,544,5352,무직,L0247
248,58,여성,가평군,39804312,143,성공,28302647,11501665,방문,5,0,50.0,812,4275,직장인,L0248
249,68,여성,아산시,31956782,256,실패,0,31956782,전화,8,2,,688,3244,무직,L0249
250,38,남성,양양군,19493334,95,성공,13344667,6148667,전화,2,0,86.0,889,4432,자영업,L0250
251,30,여성,영동군,32189655,107,성공,21098229,11091426,전화,3,0,13.0,834,4927,직장인,L0251
252,61,여성,안산시 단원구,46250540,287,실패,0,46250540,전화,12,0,,565,6338,직장인,L0252
253,47,남성,영동군,3711367,8,성공,3515664,195703,문자,1,0,3.0,794,3347,직장인,L0253
254,66,여성,원주시,36685119,231,성공,32951998,3733121,전화,10,0,192.0,436,5894,자영업,L0254
255,43,남성,안양시 동안구,27609017,8,성공,19730872,7878145,문자,3,0,4.0,517,3701,직장인,L0255
256,30,남성,이천시,28495231,30,성공,23897951,4597280,문자,3,0,2.0,773,7305,자영업,L0256
257,23,여성,고양시 일산동구,28574463,42,성공,27815466,758997,전화,4,0,12.0,791,4799,자영업,L0257
258,59,여성,성남시 분당구,19079787,278,실패,0,19079787,전화,7,0,,676,3193,직장인,L0258
259,33,여성,원주시,10184745,78,실패,0,10184745,전화,3,0,,585,5087,자영업,L0259
260,63,여성,동두천시,30067340,156,성공,26897605,3169735,전화,5,1,75.0,428,2481,직장인,L0260
261,46,남성,군포시,178697,306,실패,0,178697,전화,10,0,,724,2762,직장인,L0261
262,54,남성,포천시,23907387,43,실패,0,23907387,문자,3,0,,431,5935,직장인,L0262
263,63,여성,안양시,46528637,157,성공,32999725,13528912,방문,6,2,29.0,544,5578,자영업,L0263
264,53,여성,안산시 상록구,15313916,250,실패,0,15313916,방문,9,1,,777,2279,직장인,L0264
265,52,남성,청양군,36441302,133,실패,0,36441302,방문,6,0,,884,3183,직장인,L0265
266,41,여성,증평군,20459394,78,실패,0,20459394,전화,2,0,,567,2961,직장인,L0266
267,45,여성,강릉시,11804280,231,성공,7732294,4071986,전화,9,0,57.0,538,7082,직장인,L0267
268,62,남성,수원시 권선구,11766453,199,성공,8872617,2893836,전화,7,0,111.0,517,3324,직장인,L0268
269,55,남성,평창군,47671232,141,실패,0,47671232,전화,6,0,,692,4770,자영업,L0269
270,63,여성,구리시,14087558,167,성공,12436788,1650770,전화,4,0,61.0,650,5628,직장인,L0270
271,48,여성,포천시,14439696,52,성공,9713811,4725885,문자,1,0,8.0,916,4009,직장인,L0271
272,63,남성,춘천시,10147380,54,성공,8198042,1949338,문자,3,0,52.0,922,4781,직장인,L0272
